Process_ID,Arrival_Time_AT,Burst_Time_BT,Quantum,FCFS_CT_DT,FCFS_TAT_TT,FCFS_WT,FCFS_RT,RR_CT_DT,RR_TAT_TT,RR_WT,RR_RT,SPF_CT_DT,SPF_TAT_TT,SPF_WT,SPF_RT,SRT_CT_DT,SRT_TAT_TT,SRT_WT,SRT_RT
P0,0,5,3,5,5,0,0,1440,1440,1435,0,5,5,0,0,5,5,0,0
P1,1,17,3,22,21,4,4,4992,4992,4975,3,3402,3401,3384,3384,3402,3401,3384,3384
P2,3,3,3,25,22,19,19,9,9,6,6,8,5,2,2,8,5,2,2
P3,4,12,3,37,33,21,21,3671,3671,3659,9,1628,1624,1612,1612,1628,1624,1612,1612
P4,6,9,3,46,40,31,31,2663,2663,2654,12,839,833,824,824,839,833,824,824
P5,7,3,3,49,42,39,39,18,18,15,15,11,4,1,1,11,4,1,1
P6,8,7,3,56,48,41,41,2664,2664,2657,18,18,10,3,3,23,15,8,3
P7,10,19,3,75,65,46,46,5318,5318,5299,21,4364,4354,4335,4335,4364,4354,4335,4335
P8,10,18,3,93,83,65,65,4998,4998,4980,24,3913,3903,3885,3885,3913,3903,3885,3885
P9,10,14,3,107,97,83,83,4447,4447,4433,27,2240,2230,2216,2216,2240,2230,2216,2216
P10,13,18,3,125,112,94,94,5001,5001,4983,30,3931,3918,3900,3900,3931,3918,3900,3900
P11,14,2,3,127,113,111,111,35,35,33,33,20,6,4,4,16,2,0,0
P12,14,3,3,130,116,113,113,38,38,35,35,23,9,6,6,19,5,2,2
P13,14,14,3,144,130,116,116,4452,4452,4438,38,2254,2240,2226,2226,2254,2240,2226,2226
P14,16,18,3,162,146,128,128,5004,5004,4986,41,3949,3933,3915,3915,3949,3933,3915,3915
P15,19,6,3,168,149,143,143,1473,1473,1467,44,47,28,22,22,47,28,22,22
P16,19,19,3,187,168,149,149,5319,5319,5300,47,4383,4364,4345,4345,4383,4364,4345,4345
P17,20,3,3,190,170,167,167,53,53,50,50,26,6,3,3,26,6,3,3
P18,21,3,3,193,172,169,169,56,56,53,53,29,8,5,5,29,8,5,5
P19,21,5,3,198,177,172,172,1478,1478,1473,56,41,20,15,15,41,20,15,15
P20,24,3,3,201,177,174,174,62,62,59,59,32,8,5,5,32,8,5,5
P21,26,19,3,220,194,175,175,5320,5320,5301,62,4402,4376,4357,4357,4402,4376,4357,4357
P22,28,14,3,234,206,192,192,4463,4463,4449,65,2268,2240,2226,2226,2268,2240,2226,2226
P23,28,17,3,251,223,206,206,5012,5012,4995,68,3419,3391,3374,3374,3419,3391,3374,3374
P24,29,16,3,267,238,222,222,5013,5013,4997,71,2921,2892,2876,2876,2921,2892,2876,2876
P25,31,1,3,268,237,236,236,75,75,74,74,33,2,1,1,33,2,1,1
P26,32,3,3,271,239,236,236,78,78,75,75,36,4,1,1,36,4,1,1
P27,35,7,3,278,243,236,236,2698,2698,2691,78,58,23,16,16,58,23,16,16
P28,36,18,3,296,260,242,242,5016,5016,4998,81,3967,3931,3913,3913,3967,3931,3913,3913
P29,36,9,3,305,269,260,260,2704,2704,2695,84,848,812,803,803,848,812,803,803
P30,36,12,3,317,281,269,269,3710,3710,3698,87,1640,1604,1592,1592,1640,1604,1592,1592
P31,39,12,3,329,290,278,278,3713,3713,3701,90,1652,1613,1601,1601,1652,1613,1601,1601
P32,42,16,3,345,303,287,287,5017,5017,5001,93,2937,2895,2879,2879,2937,2895,2879,2879
P33,43,4,3,349,306,302,302,1509,1509,1505,96,51,8,4,4,51,8,4,4
P34,43,8,3,357,314,306,306,2715,2715,2707,99,662,619,611,611,662,619,611,611
P35,43,8,3,365,322,314,314,2717,2717,2709,102,670,627,619,619,670,627,619,619
P36,44,18,3,383,339,321,321,5020,5020,5002,105,3985,3941,3923,3923,3985,3941,3923,3923
P37,45,17,3,400,355,338,338,5022,5022,5005,108,3436,3391,3374,3374,3436,3391,3374,3374
P38,45,15,3,415,370,355,355,4484,4484,4469,111,2605,2560,2545,2545,2605,2560,2545,2545
P39,47,9,3,424,377,368,368,2729,2729,2720,114,857,810,801,801,857,810,801,801
P40,49,18,3,442,393,375,375,5025,5025,5007,117,4003,3954,3936,3936,4003,3954,3936,3936
P41,50,12,3,454,404,392,392,3731,3731,3719,120,1664,1614,1602,1602,1664,1614,1602,1602
P42,53,6,3,460,407,401,401,1536,1536,1530,123,64,11,5,5,68,15,9,5
P43,54,8,3,468,414,406,406,2737,2737,2729,126,678,624,616,616,678,624,616,616
P44,55,11,3,479,424,413,413,3733,3733,3722,129,1385,1330,1319,1319,1385,1330,1319,1319
P45,58,18,3,497,439,421,421,5028,5028,5010,132,4021,3963,3945,3945,4021,3963,3945,3945
P46,58,20,3,517,459,439,439,5322,5322,5302,135,4897,4839,4819,4819,4897,4839,4819,4819
P47,58,16,3,533,475,459,459,5032,5032,5016,138,2953,2895,2879,2879,2953,2895,2879,2879
P48,59,4,3,537,478,474,474,1552,1552,1548,141,68,9,5,5,63,4,0,0
P49,59,12,3,549,490,478,478,3745,3745,3733,144,1676,1617,1605,1605,1676,1617,1605,1605
P50,59,17,3,566,507,490,490,5034,5034,5017,147,3453,3394,3377,3377,3453,3394,3377,3377
